id,label,score,sentiment
418,1,0.00213521,neg
448,1,0.00172713,neg
453,1,1.7317e-05,neg
473,1,0.00270731,neg
476,1,0.00133823,neg
478,1,0.00265737,neutral
483,1,0.00139379,neg
491,1,0.00203533,neg
496,1,0.00232672,neg
497,1,0.00272496,neg
498,1,0.00119901,neutral
532,1,0.00243582,neg
534,1,0.00270575,neutral
535,1,0.00254904,pos
536,1,0.0026622,pos
537,1,0.00219999,neg
538,1,0.0027031,neg
559,1,0.00267211,neg
568,1,0.00254719,neg
578,1,0.00257364,neg
613,1,0.00110682,neg
622,1,0.00217908,pos
633,1,0.00183012,neg
634,1,0.00135942,neg
637,1,0.00195678,neg
647,1,0.00150578,neg
657,1,0.000694466,neg
681,1,0.00206805,neg
705,1,0.00206802,neg
712,1,0.00165282,neutral
715,1,0.00238064,neg
725,1,0.00242046,neg
726,1,0.00020927400000000002,pos
751,1,0.00280137,neg
793,1,1.73183e-05,neg
811,1,0.00035595699999999995,neg
814,1,0.0011264,pos
816,1,0.00251553,neg
817,1,0.00205362,neg
825,1,0.00232023,pos
840,1,0.0023410999999999996,neutral
842,1,0.00237737,neg
844,1,0.00169327,neg
875,1,0.00242135,neg
904,1,0.0027155,neg
912,1,0.00285406,neg
932,1,0.00169848,neg
949,1,0.00231733,neg
954,1,0.00212569,neg
975,1,0.00280056,neg
980,1,0.00193226,neutral
