source,target,weight
36306187,76145372,1
59668417,72173705,3
14450194,68713499,1
13785959,41683487,2
46074709,97382002,1
13785959,82455342,2
62043373,39212005,1
77026967,56610896,1
12279801,75922144,2
57235422,39434829,1
12279801,33295329,1
45192883,39212005,1
20346224,70200633,6
33803587,49261032,1
29143887,15255950,1
46515781,19001188,1
2135162,59533749,1
97542189,36447886,1
51778721,76145372,1
28130379,47860624,1
41314232,49261032,6
26302876,3207492,1
57995388,39434829,1
13238725,59874259,4
68428067,60338742,1
88563079,86231890,1
13886055,76145372,1
13457308,71888706,1
54223426,89973818,2
91587638,8227373,1
9214582,26873100,1
61157057,71888706,1
9214582,43973229,1
9214582,52998147,1
93190259,43973229,1
76626421,52998147,1
76626421,43973229,1
51378765,82455342,1
17833766,19001188,1
66677097,61085536,1
13457308,41683487,1
13457308,82455342,3
15120516,8997176,1
34975451,8227373,2
12661198,43973229,1
86787881,76708060,1
95778054,43973229,1
42917618,65460140,9
7175750,29467702,1
12661198,31809212,1
7175750,5373856,1
82906256,43973229,1
82865101,43973229,1
63177544,26873100,1
63177544,43973229,1
77813753,43973229,2
72936386,43973229,2
15382830,46292963,2
49119829,3207492,1
49119829,69614174,1
74953343,43973229,1
23046216,30913075,4
47195764,97382002,4
78505263,9144083,1
62209274,56849453,1
50972749,69614174,1
15697392,76145372,1
83595207,613328,1
71007398,45917939,1
47399658,9144083,1
45837208,79719301,1
9084999,76708060,1
60705670,9663742,1
26606224,78221577,1
26606224,65116894,1
74856148,35157317,1
88825505,20630993,1
28026166,56220033,1
99200873,52548622,1
83221304,65116894,1
37441152,65116894,1
41098894,65116894,1
95391479,41265691,1
99200873,8723858,1
74856148,15972792,1
13674218,65116894,1
14625564,41265691,1
60634581,2598964,1
43758908,2598964,1
42549984,92630813,1
17392847,8227373,1
12998737,246824,2
68626587,21199047,1
19491271,92630813,1
28262822,2598964,1
45111496,41265691,1
68192184,56220033,1
44290916,65116894,1
42404853,56220033,1
65985091,65116894,1
86298302,9663742,1
44290916,2598964,1
60634581,65116894,1
86298302,41265691,1
28262822,65116894,1
17392847,72173705,1
27066481,65116894,1
15896377,95026042,5
66081638,60338742,1
66677097,7298567,1
17392847,20630993,2
36670772,65116894,1
66081638,56220033,1
55476069,28836917,5
95778054,65116894,1
81741925,51824266,1
81741925,49261032,3
12376678,39477491,2
54145110,81457089,1
33434316,43973229,1
44250680,9144083,1
26033830,65116894,1
509112,72173705,2
22232290,65116894,1
20630993,9663742,1
32310652,18783091,1
81997637,90395400,3
23684953,94359703,1
99275589,33683915,1
83644704,84642433,1
52226594,72523480,3
15120516,33683915,1
35831046,30423618,1
86298302,31346162,1
86298302,24047487,1
95135529,41265691,1
95135529,9663742,1
9494783,47364491,1
95135529,85071614,1
71210926,73230281,1
2135162,20630993,2
95135529,15697392,1
95135529,97154015,1
15353912,85071614,1
92008708,33683915,1
95135529,293899,1
95135529,24047487,1
95135529,47428699,1
57235422,20630993,2
92008708,36610783,1
6676802,69025752,2
95135529,11637265,1
95135529,47796773,1
95135529,44632826,1
12610119,20630993,1
95135529,31346162,2
90360931,10721637,6
17392847,3295917,1
79030979,69025752,1
27643385,95355134,1
99895617,95355134,1
78585257,95026042,4
5661213,10721637,5
58701486,95026042,3
99917885,33683915,1
79114326,19332856,1
79425270,20630993,2
16627314,20471779,1
44656240,39481873,1
68004481,33683915,1
43758908,69025752,1
14472814,56515021,1
71029956,45734118,1
58083331,88393877,1
81741806,32704320,3
48829426,82455342,1
75376461,97323196,1
63441788,32704320,1
95135529,13635546,1
95135529,97323196,1
44878598,88393877,1
21561590,88393877,1
52899336,96757524,1
84623525,86231890,1
916142,31809212,1
916142,43973229,1
73494415,45028424,1
67277306,95026042,2
18518217,37205737,1
65942493,74234169,1
79030979,43973229,1
13674218,61434326,1
34172837,65116894,1
26033830,2598964,1
64098641,49614784,1
21561590,97382002,1
45682589,33485627,1
55231398,13635546,1
60705670,34128857,1
1100123,22609227,1
17392847,56742651,1
73540026,62310732,1
44878598,97382002,5
26760606,31097864,4
60705670,31346162,1
60705670,78127355,1
15353912,9663742,1
43643990,8330773,1
90866490,69125066,2
77232480,44631307,3
77232480,58910349,1
44459700,35014469,1
14625564,89989809,1
18553565,46074709,1
21561590,46074709,3
929188,46074709,2
6501636,89973818,1
95391479,6501636,1
95391479,80446961,1
342108,12151785,1
45111496,6501636,1
75552517,20411063,3
91587638,34064051,1
74095614,246824,1
95391479,34064051,2
23730023,22145618,1
65004102,20349848,1
73722584,3721808,1
73103803,61710923,1
60705670,89989809,1
45111496,89989809,1
86298302,89989809,1
60843673,85274643,1
43395385,80049,1
79068119,27822384,2
66184021,81442990,1
19415687,79809248,1
82455934,27822384,3
86298302,34064051,1
53802647,74856148,1
16059078,10721637,4
69900465,3721808,1
68733883,60192806,2
9239462,74524596,1
47436635,89989809,1
55316334,26987973,3
59668417,89989809,1
73892273,34845390,1
25097673,39968189,2
8227373,85091635,1
13886055,34064051,2
50148388,45717989,1
75376461,1048150,1
37442555,34064051,1
73969351,20349848,1
88563079,34064051,2
62391870,34064051,1
83644704,33582043,1
39161448,60192806,1
98203890,49261032,3
98203890,246824,1
53368243,75925840,1
56110467,20411063,1
45073408,96122075,4
57043871,89507695,1
45111496,1048150,1
92066770,49261032,1
54153353,34064051,2
54153353,1048150,1
88825505,34064051,1
7583772,35014469,1
54153353,20630993,1
1004696,6501636,1
87870947,77075734,1
96498564,89973818,2
57969163,20349848,1
12967075,95417389,3
42740943,96156664,1
87823950,95026042,1
45192883,24598392,1
44261180,94340449,1
33465000,21909965,1
45647987,75486987,2
79425270,34064051,1
8212316,38536176,4
14982130,74856148,1
53802647,20349848,1
19747316,13852594,1
99004711,69608165,1
57969163,74856148,1
95391479,89989809,1
10441252,20349848,1
43758908,20349848,1
95391479,1048150,1
69097066,72319602,1
57235422,34064051,1
87073540,69025752,3
60286696,84587021,1
60286696,22567149,1
92066770,35014469,1
60286696,89973818,1
14982130,20349848,1
18609440,75486987,2
66677097,24598392,1
81741925,35014469,1
52029423,38536176,2
45262448,10721637,3
81851038,60192806,1
36108085,35014469,1
89039386,8330773,1
98716338,10827805,1
14625564,34064051,1
82893996,18303795,1
70727995,35014469,1
49522834,60192806,1
47436635,55762359,1
60789704,18796002,1
79919478,48976151,2
54157763,34338553,1
79490334,71712043,1
45192883,97382002,1
21019619,22609227,1
59182739,13994107,1
30692428,62062332,1
61892859,33788779,1
79425270,95355134,1
77813753,2598964,1
1479615,70261721,1
25740977,95026042,5
86298302,95355134,1
2891435,71712043,1
18553565,88393877,1
69975670,72173705,1
58910349,35028977,2
5476137,83469761,1
55231398,34128857,1
91697463,34128857,1
91697463,13635546,1
83507949,15896377,1
47399658,58879441,1
13133613,90395400,1
90243557,58879441,1
57969163,30314205,1
28454765,94359703,1
85862007,6676802,1
99815894,53561793,2
30114165,53561793,2
57043871,69025752,1
40150776,56160664,1
43257272,53561793,3
78275543,73230281,1
73438584,50245601,3
30692428,19332856,1
40150776,96294923,1
40150776,2598964,1
18805884,73276583,4
81134552,53561793,1
37918961,27435853,1
37918961,7583109,1
17877010,53561793,3
38008595,73230281,1
17062814,27435853,1
17062814,7583109,1
17062814,53561793,4
64098641,33683915,1
2290952,49261032,1
5983275,31346162,1
89495019,73230281,1
53034572,53561793,4
70937311,53561793,2
13348379,27435853,1
26777403,53561793,1
80049,53561793,1
69197166,53561793,2
83450716,53561793,2
45416250,53561793,2
1160370,53561793,2
74311497,53561793,2
30459676,49261032,1
15697392,20630993,2
31082444,37495513,1
42628712,47364491,1
81095305,49028604,2
30692428,69025752,1
19332856,69025752,2
19332856,11476871,1
90942490,16926222,52
36229552,3473868,1
83644704,18753826,1
86298302,64532837,2
50148388,33683915,1
69197166,40165791,1
37442555,24047487,1
86298302,3295917,1
3269605,20630993,2
9084999,40487974,2
56333153,56661842,1
56333153,84642433,2
61826439,66038813,1
89750836,89973818,1
95391479,41420011,1
38928361,95355134,1
97542189,97382002,1
13348379,5153506,1
38928361,34128857,1
55762359,89973818,1
45111496,95391479,1
29154242,89973818,1
38361011,88393877,1
45111496,72173705,1
39616118,14644441,1
34835009,10721637,4
38928361,95391479,3
38928361,53884327,1
38928361,55762359,1
86800243,49261032,4
38928361,55053041,1
12610119,89973818,1
42740943,74304883,1
58864876,94400752,1
17392847,86231890,1
97190895,8792986,7
95897476,929188,1
23639240,89973818,2
22497957,15896377,3
17963403,26987973,3
68382547,71712043,1
46833666,55053041,1
49261032,58514210,1
49261032,49606948,2
49773711,71712043,1
4830061,94400752,1
34975451,89973818,1
51484749,97498399,1
10112044,61434326,2
10112044,38512504,2
49332637,61434326,1
61205425,55053041,1
25113167,98101829,2
74159149,16926222,3
21143276,88393877,1
71085195,10721637,4
12872339,76145372,1
12872339,39434829,1
52899336,88240692,1
14625564,56742651,1
81202608,26987973,1
80970543,65116894,1
1026841,98101829,3
5967920,5153506,2
48958980,69025752,1
50495211,89344139,1
5983275,61870097,2
1405200,7583109,1
55431500,10721637,4
97190895,33295329,2
74838280,31346162,1
55520105,11637265,1
26976856,93756900,1
67848183,93756900,1
64497696,3721808,1
55520105,3295917,1
8078650,246824,3
95391479,33295329,1
41314232,246824,2
20422483,61870097,2
32489423,91110483,1
25352077,91110483,1
38928361,24047487,1
35242547,33683915,1
88563079,61870097,1
38928361,44632826,1
41314232,22947403,2
44200586,53561793,3
70200222,95391479,1
93399707,42682171,1
93399707,49261032,1
93399707,53838471,1
38928361,20630993,2
41314232,53838471,1
70148212,69025752,1
7288851,42682171,1
97117599,73230281,1
70200222,75922144,1
49997514,53561793,2
7288851,22947403,3
65722254,53561793,2
70200222,52465314,1
51484749,69025752,2
69418996,69025752,1
44250680,69025752,1
10163569,42682171,1
61620614,69025752,2
21082238,246824,2
34982076,88316937,1
95391479,21476275,1
38085694,75114131,10
91697463,47428699,1
39958382,42682171,1
85693610,69025752,1
10441252,88316937,1
53484076,49261032,2
2240995,74311497,1
98108692,49028604,1
2240995,53561793,1
59105408,95026042,2
57043871,88316937,1
62815928,33683915,1
96809604,95026042,5
72793502,80358041,1
90866490,49028604,1
37845291,69025752,1
87468129,53561793,3
